skz,name,street,zip,city,phone,email,website,principal,school_type
5592,Volksschule Kukmirn,Schulstraße 3,7543,Kukmirn,03328/32232,,,,"Volksschule, Grundbildung"
5664,Volksschule Minihof-Liebau,Minihof-Liebau 21,8384,Minihof-Liebau,03329/2870,,,,"Volksschule, Grundbildung"
5712,Volksschule Oggau,Schulgasse 6,7063,Oggau,02685/7666,,,,"Volksschule, Grundbildung"
5820,Volksschule Litzelsdorf,Marktstraße 58,7532,Litzelsdorf,03358/3027,,,,"Volksschule, Grundbildung"
5970,Werkmeisterschule für Berufstätige für Maschinenbau-Automatisierungstechnik des WIFI der WK Burgenland Eisenstadt,Robert-Graf-Platz 1,7000,Eisenstadt,0590907-5210,,,,"TMS und THS, Sekundarbildung Oberstufe"
6027,Volksschule Oslip,Hauptstraße 8,7064,Oslip,02684/2234,,,,"Volksschule, Grundbildung"
6091,Volksschule Tobaj,Deutsch-Tschantschendorf 1,7544,Tobaj,03327/8100,,,,"Volksschule, Grundbildung"
6104,Volksschule Deutsch Kaltenbrunn,Untere Marktstraße 35,7572,Deutsch Kaltenbrunn,03383/71229,,,,"Volksschule, Grundbildung"
3705,Volksschule Sankt Michael im Burgenland,Schulstraße 250,7535,Sankt Michael im Burgenland,03327/8515,,,,"Volksschule, Grundbildung"
273,"2schule ""Schule für Sozialbetreuungsberufe"" des Vereins zur Errichtung und Erhaltung einer Fachschule für soziale Betreuung Pinkafeld Güssing",Schulstraße 17,7540,Güssing,03322/,,,,"Sozialberufliche Schule, Sekundarbildung Oberstufe"
436,Werkmeisterschule für Beruftstätige für Mechatronik des BFI Burgenland Großpetersdorf,Fabriksgasse 3a,7503,Großpetersdorf,03362/,,,,"TMS und THS, Sekundarbildung Oberstufe"
981,"Musikschulen des Vereins ""Burgenländisches Musikschulwerk"" (Hauptanstalt einschließlich Zweigstellen) Eisenstadt",Kernausteig 3,7000,Eisenstadt,,,,,"Musikschule, SAS"
2515,Volksschule Sankt Martin an der Raab,Hauptstraße 1,8383,Sankt Martin an der Raab,03329/48668,,,,"Volksschule, Grundbildung"
3172,"2schule ""Waldorfschule Pannonia"" des Waldorfvereins Pannonia Pamhagen",Hauptstraße 57,7152,Pamhagen,02174/,,,,"Hauptschule, Volksschule, SAS, Sekundarbildung Unterstufe, Grundbildung"
3576,Volksschule Neudörfl an der Leitha,Zollikofenplatz,7201,Neudörfl an der Leitha,02622/77230,,,,"Volksschule, Grundbildung"
4887,Volksschule Bad Sauerbrunn,Mattersburger Straße 4,7202,Bad Sauerbrunn,02625/32798,,,,"Volksschule, Grundbildung"
6034,Landwirtschaftliche Bildungsstätte der Burgenländischen Landwirtschaftskammer Oberwart,Prinz-Eugen-Straße 7,7400,Oberwart,03352/32308,,,,"LFMS, Sekundarbildung Oberstufe"
