skz,name,street,zip,city,phone,email,website,principal,school_type
1701,Bundesgymnasium Wien,Ettenreichgasse 41-43,1100,Wien,01/6044218,,www.ettenreich.at,HR Dir. Mag. Reingard GLATZ,AHS
416,"Islamische Fachschule für Soziale Bildung der Islamischen Religionsgemeinde Wien für Wien, Niederösterreich und Burgenland Wien",Neustiftgasse 117,1070,Wien,01/78632248,,,Mag.a Zeynep Elibol,"WMS und WHS, Sozialberufliche Schule, Sekundarbildung Oberstufe"
2700,Neue Praxismittelschule der Pädagogischen Hochschule in Wien (910660) Wien,Grenzackerstraße 18/Ettenreichgasse 45b,1100,Wien,01/60118-6400 01/60118-6200,,www.phwien.ac.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3390,Volksschule Wien,Korbgasse 1,1230,Wien,01/8692666,,,Michael Hohl,"Volksschule, Grundbildung"
1736,Höhere Bundeslehranstalt für Mode sowie Kunst und Gestaltung,Herbststraße 104,1160,Wien,01/4920970,,www.herbststrasse.at,,"TMS und THS, WMS und WHS, Sekundarbildung Oberstufe"
2850,Fachschule der Stadt Wien für wirtschaftliche Berufe,Hahngasse 35,1090,Wien,01/59916 95840 01 59916 95841,,www.fachschule-hahngasse.at,Dipl.-Pädin. Eva Hahnel,
105,Volksschule Wien,Esslinger Hauptstraße 97,1220,Wien,01/7742723,,www.volksschule-essling.at/de,,"Volksschule, Grundbildung"
17,Bundesrealgymnasium Wien,Waltergasse 7,1040,Wien,01/5053447,,www.brg4.at,,AHS
46,Bundesgymnasium Wien,Billrothstraße 73,1190,Wien,01/3682539,,www.billroth73.at,,AHS
58,Gymnasium Albertus Magnus Schule der Vereinigung von Ordensschulen Österreichs Wien,Semperstraße 45,1180,Wien,01/4796918,,ams-wien.at,,AHS
109,Berufsschule für Baugewerbe Wien,Wagramer Straße 65,1222,Wien,01/59916-96070,,www.bsbau.at,,"Berufsschule, Sekundarbildung Oberstufe"
119,"Berufsschule für Holz, Klang, Farbe und Lack Wien",Hütteldorfer Straße 7-17,1150,Wien,01/59916/95261,,www.bsholz-wien.at,,"Berufsschule, Sekundarbildung Oberstufe"
130,Volksschule und Neue Mittelschule (Integrative Lernwerkstatt Brigittenau) Wien,Vorgartenstraße 50,1200,Wien,01/3333723,,www.lernwerkstatt.or.at,,"Hauptschule, Volksschule, Sekundarbildung Unterstufe, Grundbildung"
165,Polytechnische Schule Wien,Pernersdorfergasse 30,1100,Wien,01/624476,,www.wbn.wien.at/schulen/910034,,"Polytechnische Schule, Sekundarbildung Oberstufe"
250,Neue Mittelschule 23 Wien,Carlbergergasse 72,1230,Wien,01/8697623,,www.juniorhighschool.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
323,Volksschule Wien,Halirschgasse 25,1170,Wien,01/4861259,,kunterbunt.schoolweb.at,,"Volksschule, Grundbildung"
329,Neue Mittelschule Wien,Afritschgasse 56,1220,Wien,01/231239,,www.mittelschulekagran.net,,"Neue Mittelschule, Sekundarbildung Unterstufe"
374,Zwi Perez Chajes Schule Realgymnasium mit Modellversuch Neue Mittelschule der Israelitischen Kultusgemeinde Wien Wien,Simon Wiesenthal-Gasse 3,1020,Wien,01/2164046-15,,www.zpc.at,,"AHS mit NMS, AHS, Sekundarbildung Unterstufe"
